unicode_cp	hanyang_cp	jeju_cp	eacc_cp	marc_cp	marc_pua
<U+115F, U+1161, U+11AE>	U+E0BC				
<U+115F, U+1161, U+D7CD>	U+E0BD				
<U+115F, U+1161, U+11AF>	U+E0BE				
<U+115F, U+1161, U+11B0>	U+E0BF				
<U+115F, U+1161, U+11B1>	U+E0C0				
<U+115F, U+1161, U+11B2>	U+E0C1				
<U+115F, U+1161, U+11BA>	U+E0C2				
<U+115F, U+1161, U+11BB>	U+E0C3				
<U+115F, U+1161, U+11BD>	U+E0C4				
<U+115F, U+1161, U+D7F9>	U+E0C5				
<U+115F, U+11A3>	U+E0C6				
<U+115F, U+11A3, U+11AE>	U+E0C7				
<U+115F, U+1163, U+11AB>	U+E0C8				
<U+115F, U+1165, U+11AF>	U+E0C9				
<U+115F, U+1165, U+11B8>	U+E0CA				
<U+115F, U+116E, U+11AB>	U+E0CB				
<U+115F, U+1175, U+11A8>	U+E0CC				
<U+115F, U+1175, U+11AB>	U+E0CD				
<U+115F, U+1175, U+11AF>	U+E0CE				
<U+115F, U+1175, U+11BA>	U+E0CF				
<U+115F, U+1175, U+11BC>	U+E0D0				
<U+115F, U+119E, U+11AF>	U+E0D1				
<U+1100, U+1161, U+11FF>	U+E0D2				
<U+1100, U+1161, U+11C7>	U+E0D3				
<U+1100, U+1161, U+11CA>	U+E0D4				
<U+1100, U+1161, U+11CD>	U+E0D5				
<U+1100, U+1161, U+11CE>	U+E0D6				
<U+1100, U+1161, U+11D0>	U+E0D7				
<U+1100, U+1161, U+D7DB>	U+E0D8				
<U+1100, U+1161, U+11D9>	U+E0D9				
<U+1100, U+1161, U+11DD>	U+E0DA				
<U+1100, U+1161, U+11E1>	U+E0DB				
<U+1100, U+1161, U+11E2>	U+E0DC				
<U+1100, U+1161, U+11E4>	U+E0DD				
<U+1100, U+1161, U+11E5>	U+E0DE				
<U+1100, U+1161, U+11E6>	U+E0DF				
<U+1100, U+1161, U+11E7>	U+E0E0				
<U+1100, U+1161, U+11EA>	U+E0E1				
<U+1100, U+1161, U+D7F0>	U+E0E2				
<U+1100, U+1161, U+D7F1>	U+E0E3				
<U+1100, U+1161, U+11EB>	U+E0E4				
<U+1100, U+1161, U+11F1>	U+E0E5				
<U+1100, U+1161, U+11F1>	U+E0E7				
<U+1100, U+1161, U+11F0>	U+E0E6				
<U+1100, U+1161, U+11F9>	U+E0E8				
<U+1100, U+1176>	U+E0E9				
<U+1100, U+1177>	U+E0EA				
<U+1100, U+1162, U+11CD>	U+E0EB				
<U+1100, U+1162, U+D7DB>	U+E0EC				
<U+1100, U+1162, U+11F0>	U+E0ED				
<U+1100, U+1163, U+11E2>	U+E0EE				
<U+1100, U+1163, U+11E6>	U+E0EF				
<U+1100, U+1163, U+11F0>	U+E0F0				
<U+1100, U+1163, U+11F9>	U+E0F1				
<U+1100, U+1178>	U+E0F2				
<U+1100, U+1165, U+11C7>	U+E0F3				
<U+1100, U+1165, U+11D0>	U+E0F4				
<U+1100, U+1165, U+11D9>	U+E0F5				
<U+1100, U+1165, U+11DD>	U+E0F6				
<U+1100, U+1165, U+11E2>	U+E0F7				
<U+1100, U+1165, U+11E3>	U+E0F8				
<U+1100, U+1165, U+11E6>	U+E0F9				
<U+1100, U+1165, U+11E7>	U+E0FA				
<U+1100, U+1165, U+D7F0>	U+E0FB				
<U+1100, U+1165, U+D7F2>	U+E0FC				
<U+1100, U+1165, U+11EB>	U+E0FD				
<U+1100, U+1165, U+11F0>	U+E0FE				
<U+1100, U+1165, U+11F9>	U+E0FF				
<U+1100, U+117C>	U+E100				
<U+1100, U+117C, U+11AB>	U+E101				
<U+1100, U+117C, U+11AF>	U+E102				
<U+1100, U+117C, U+11B7>	U+E103				
<U+1100, U+1166, U+11F0>	U+E104				
<U+1100, U+1167, U+D7D4>	U+E105				
<U+1100, U+1167, U+11D9>	U+E106				
<U+1100, U+1167, U+11E2>	U+E107				
<U+1100, U+1167, U+D7E9>	U+E108				
<U+1100, U+1167, U+11E7>	U+E109				
<U+1100, U+1167, U+D7F0>	U+E10A				
<U+1100, U+1167, U+D7F1>	U+E10B				
<U+1100, U+1167, U+D7F2>	U+E10C				
<U+1100, U+1167, U+11EB>	U+E10D				
<U+1100, U+1167, U+11F0>	U+E10E				
<U+1100, U+1167, U+11F1>	U+E10F				
<U+1100, U+1167, U+11F9>	U+E110				
<U+1100, U+1168, U+11F0>	U+E111				
<U+1100, U+1169, U+11D0>	U+E112				
<U+1100, U+1169, U+D7DA>	U+E113				
<U+1100, U+1169, U+11D6>	U+E114				
<U+1100, U+1169, U+11D9>	U+E115				
<U+1100, U+1169, U+11DA>	U+E116				
<U+1100, U+1169, U+11DD>	U+E117				
<U+1100, U+1169, U+11E2>	U+E118				
<U+1100, U+1169, U+11E6>	U+E119				
<U+1100, U+1169, U+D7F0>	U+E11A				
<U+1100, U+1169, U+11EB>	U+E11B				
<U+1100, U+1169, U+11F0>	U+E11C				
<U+1100, U+1169, U+11F1>	U+E11D				
<U+1100, U+1169, U+11F7>	U+E11E				
<U+1100, U+1169, U+11F8>	U+E11F				
<U+1100, U+116A, U+11C7>	U+E120				
<U+1100, U+116A, U+11D9>	U+E121				
<U+1100, U+116A, U+11F0>	U+E122				
<U+1100, U+116A, U+11F9>	U+E123				
<U+1100, U+11A6>	U+E124				
<U+1100, U+11A6, U+11BC>	U+E125				
<U+1100, U+117F>	U+E126				
<U+1100, U+117F, U+11AB>	U+E127				
<U+1100, U+117F, U+11AF>	U+E128				
<U+1100, U+1182>	U+E129				
<U+1100, U+1182, U+11AF>	U+E12A				
<U+1100, U+116C, U+11F0>	U+E12B				
<U+1100, U+116D, U+11D9>	U+E12C				
<U+1100, U+116D, U+11E2>	U+E12D				
<U+1100, U+116D, U+11F0>	U+E12E				
<U+1100, U+D7B2>	U+E12F				
<U+1100, U+D7B3>	U+E130				
<U+1100, U+D7B3, U+11AF>	U+E131				
<U+1100, U+1184>	U+E132				
<U+1100, U+1185>	U+E133				
<U+1100, U+1185, U+11AF>	U+E134				
<U+1100, U+1185, U+11B0>	U+E135				
<U+1100, U+1188>	U+E136				
<U+1100, U+1188, U+11AB>	U+E137				
<U+1100, U+116E, U+11FD>	U+E138				
<U+1100, U+116E, U+11C7>	U+E139				
<U+1100, U+116E, U+11CD>	U+E13A				
<U+1100, U+116E, U+11D0>	U+E13B				
<U+1100, U+116E, U+11D9>	U+E13C				
<U+1100, U+116E, U+11DA>	U+E13D		6F7723		<U+E8CA>
<U+1100, U+116E, U+11DD>	U+E13E				
<U+1100, U+116E, U+11E2>	U+E13F				
<U+1100, U+116E, U+11E6>	U+E140				
<U+1100, U+116E, U+11EC>	U+E141				
<U+1100, U+116E, U+11EC>	U+E143				
<U+1100, U+116E, U+11F0>	U+E142				
<U+1100, U+116E, U+11F6>	U+E144				
<U+1100, U+116E, U+11F9>	U+E145				
<U+1100, U+1189>	U+E146				
<U+1100, U+1189, U+11AB>	U+E147				
<U+1100, U+1189, U+11B7>	U+E148				
<U+1100, U+1189, U+11BC>	U+E149				
<U+1100, U+118A>	U+E14A				
<U+1100, U+116F, U+11C7>	U+E14B				
<U+1100, U+116F, U+11D9>	U+E14C				
<U+1100, U+116F, U+11F9>	U+E14D				
<U+1100, U+118B>	U+E14E				
<U+1100, U+118B, U+11AB>	U+E14F				
<U+1100, U+D7B5>	U+E150				
<U+1100, U+118C>	U+E151				
<U+1100, U+118D>	U+E152				
<U+1100, U+118D, U+11AF>	U+E153				
<U+1100, U+1171, U+11F0>	U+E154				
<U+1100, U+1171, U+11F9>	U+E155				
<U+1100, U+1172, U+11D9>	U+E156				
<U+1100, U+1172, U+11E2>	U+E157				
<U+1100, U+1172, U+11F0>	U+E158				
<U+1100, U+1172, U+11F9>	U+E159				
<U+1100, U+118E>	U+E15A				
<U+1100, U+118E, U+11AB>	U+E15B				
<U+1100, U+118F>	U+E15C				
<U+1100, U+118F, U+11AB>	U+E15D				
<U+1100, U+1191>	U+E15E				
<U+1100, U+1191, U+11A8>	U+E15F				
<U+1100, U+1191, U+11AB>	U+E160				
<U+1100, U+1191, U+11AF>	U+E161				
<U+1100, U+1191, U+11D9>	U+E162				
<U+1100, U+1191, U+11BC>	U+E163				
<U+1100, U+1191, U+11F0>	U+E164				
<U+1100, U+1191, U+11F9>	U+E165				
<U+1100, U+1192>	U+E166				
<U+1100, U+1192, U+11AF>	U+E167				
<U+1100, U+1192, U+11B0>	U+E168				
<U+1100, U+1192, U+11BC>	U+E169				
<U+1100, U+1194>	U+E16A				
<U+1100, U+1194, U+11A8>	U+E16B				
<U+1100, U+1194, U+11AF>	U+E16C				
<U+1100, U+1194, U+11D9>	U+E16D				
<U+1100, U+1194, U+11BC>	U+E16E				
<U+1100, U+1194, U+11F0>	U+E16F				
<U+1100, U+1173, U+11C7>	U+E170				
<U+1100, U+1173, U+D7CC>	U+E171				
<U+1100, U+1173, U+11C9>	U+E172				
<U+1100, U+1173, U+D7D3>	U+E173				
<U+1100, U+1173, U+D7D4>	U+E174				
<U+1100, U+1173, U+11CD>	U+E175				
<U+1100, U+1173, U+11D0>	U+E176				
<U+1100, U+1173, U+11D9>	U+E177				
<U+1100, U+1173, U+11DA>	U+E178				
<U+1100, U+1173, U+11DD>	U+E179				
<U+1100, U+1173, U+11DF>	U+E17A				
<U+1100, U+1173, U+11E1>	U+E17B				
<U+1100, U+1173, U+11E2>	U+E17C				
<U+1100, U+1173, U+D7F0>	U+E17D				
<U+1100, U+1173, U+11EB>	U+E17E				
<U+1100, U+1173, U+11F0>	U+E17F				
<U+1100, U+1173, U+11F9>	U+E180				
<U+1100, U+D7BA>	U+E181				
<U+1100, U+D7BB>	U+E182				
<U+1100, U+1195>	U+E183				
<U+1100, U+1196>	U+E184				
<U+1100, U+1174, U+11D9>	U+E185				
<U+1100, U+1174, U+11F9>	U+E186				
<U+1100, U+1175, U+11CA>	U+E187				
<U+1100, U+1175, U+D7CD>	U+E188				
<U+1100, U+1175, U+11CD>	U+E189				
<U+1100, U+1175, U+11D0>	U+E18A				
<U+1100, U+1175, U+11D9>	U+E18B				
<U+1100, U+1175, U+D7DC>	U+E18C				
<U+1100, U+1175, U+11E0>	U+E18D				
<U+1100, U+1175, U+11E2>	U+E18E				
<U+1100, U+1175, U+D7E6>	U+E18F				
<U+1100, U+1175, U+D7E8>	U+E190				
<U+1100, U+1175, U+11E4>	U+E191				
<U+1100, U+1175, U+11E5>	U+E192				
<U+1100, U+1175, U+11E6>	U+E193				
<U+1100, U+1175, U+11E7>	U+E194				
<U+1100, U+1175, U+D7EC>	U+E195				
<U+1100, U+1175, U+D7F0>	U+E196				
