eacc_cp	marc_cp	marc_pua	unicode_glyph	unicode_cp
6F7624		<U+E8B0>		
6F7625	<U+318D>		ᅟᆞ	<U+115F, U+119E>
6F7640		<U+E8B2>		
6F7641		<U+E8B3>	ᄀᆞ	<U+1100, U+119E>
6F7642		<U+E8B4>		
6F7643		<U+E8B5>	ᄂᆞ	<U+1102, U+119E>
6F7644		<U+E8B6>		
6F7645		<U+E8B7>	ᄃᆞ	<U+1103, U+119E>
6F7646		<U+E8B8>		
6F7647		<U+E8B9>	ᄅᆞ	<U+1105, U+119E>
6F7648		<U+E8BA>		
6F7649		<U+E8BB>	ᄆᆞ	<U+1106, U+119E>
6F764A		<U+E8BC>		
6F764B		<U+E8BD>	ᄉᆞ	<U+1109, U+119E>
6F764C		<U+E8BE>		
6F764D		<U+E8BF>	ᄌᆞ	<U+110C, U+119E>
6F764E		<U+E8C0>		
6F764F		<U+E8C1>	ᄎᆞ	<U+110E, U+119E>
6F7650		<U+E8C2>		
6F7651		<U+E8C3>	ᄏᆞ	<U+110F, U+119E>
6F7652		<U+E8C4>		
6F7653		<U+E8C5>	ᄐᆞ	<U+1110, U+119E>
6F7654		<U+E8C6>		
6F7655		<U+E8C7>	ᄑᆞ	<U+1111, U+119E>
6F7656		<U+E8C8>		
6F7657		<U+E8C9>	ᄒᆞ	<U+1112, U+119E>
6F7723		<U+E8CA>	구ᇚ	<U+1100, U+116E, U+11DA>
