hanyang_cp	hanyang_glyph	unicode_cp	unicode_glyph_hy	unicode_glyph
U+E0BC		<U+115F, U+1161, U+11AE>	ᅟᅡᆮ	
U+E0BD		<U+115F, U+1161, U+D7CD>	ᅟᅡퟍ	
U+E0BE		<U+115F, U+1161, U+11AF>	ᅟᅡᆯ	
U+E0BF		<U+115F, U+1161, U+11B0>	ᅟᅡᆰ	
U+E0C0		<U+115F, U+1161, U+11B1>	ᅟᅡᆱ	
U+E0C1		<U+115F, U+1161, U+11B2>	ᅟᅡᆲ	
U+E0C2		<U+115F, U+1161, U+11BA>	ᅟᅡᆺ	
U+E0C3		<U+115F, U+1161, U+11BB>	ᅟᅡᆻ	
U+E0C4		<U+115F, U+1161, U+11BD>	ᅟᅡᆽ	
U+E0C5		<U+115F, U+1161, U+D7F9>	ᅟᅡퟹ	
U+E0C6		<U+115F, U+11A3>	ᅟᆣ	
U+E0C7		<U+115F, U+11A3, U+11AE>	ᅟᆣᆮ	
U+E0C8		<U+115F, U+1163, U+11AB>	ᅟᅣᆫ	
U+E0C9		<U+115F, U+1165, U+11AF>	ᅟᅥᆯ	
U+E0CA		<U+115F, U+1165, U+11B8>	ᅟᅥᆸ	
U+E0CB		<U+115F, U+116E, U+11AB>	ᅟᅮᆫ	
U+E0CC		<U+115F, U+1175, U+11A8>	ᅟᅵᆨ	
U+E0CD		<U+115F, U+1175, U+11AB>	ᅟᅵᆫ	
U+E0CE		<U+115F, U+1175, U+11AF>	ᅟᅵᆯ	
U+E0CF		<U+115F, U+1175, U+11BA>	ᅟᅵᆺ	
U+E0D0		<U+115F, U+1175, U+11BC>	ᅟᅵᆼ	
U+E0D1		<U+115F, U+119E, U+11AF>	ᅟᆞᆯ	
U+E0D2		<U+1100, U+1161, U+11FF>	가ᇿ	
U+E0D3		<U+1100, U+1161, U+11C7>	가ᇇ	
U+E0D4		<U+1100, U+1161, U+11CA>	가ᇊ	
U+E0D5		<U+1100, U+1161, U+11CD>	가ᇍ	
U+E0D6		<U+1100, U+1161, U+11CE>	가ᇎ	
U+E0D7		<U+1100, U+1161, U+11D0>	가ᇐ	
U+E0D8		<U+1100, U+1161, U+D7DB>	가ퟛ	
U+E0D9		<U+1100, U+1161, U+11D9>	가ᇙ	
U+E0DA		<U+1100, U+1161, U+11DD>	가ᇝ	
U+E0DB		<U+1100, U+1161, U+11E1>	가ᇡ	
U+E0DC		<U+1100, U+1161, U+11E2>	가ᇢ	
U+E0DD		<U+1100, U+1161, U+11E4>	가ᇤ	
U+E0DE		<U+1100, U+1161, U+11E5>	가ᇥ	
U+E0DF		<U+1100, U+1161, U+11E6>	가ᇦ	
U+E0E0		<U+1100, U+1161, U+11E7>	가ᇧ	
U+E0E1		<U+1100, U+1161, U+11EA>	가ᇪ	
U+E0E2		<U+1100, U+1161, U+D7F0>	가ퟰ	
U+E0E3		<U+1100, U+1161, U+D7F1>	가ퟱ	
U+E0E4		<U+1100, U+1161, U+11EB>	가ᇫ	
U+E0E5		<U+1100, U+1161, U+11F1>	가ᇱ	
U+E0E6		<U+1100, U+1161, U+11F0>	가ᇰ	
U+E0E7		<U+1100, U+1161, U+11F1>	가ᇱ	
U+E0E8		<U+1100, U+1161, U+11F9>	가ᇹ	
U+E0E9		<U+1100, U+1176>	ᄀᅶ	
U+E0EA		<U+1100, U+1177>	ᄀᅷ	
U+E0EB		<U+1100, U+1162, U+11CD>	개ᇍ	
U+E0EC		<U+1100, U+1162, U+D7DB>	개ퟛ	
U+E0ED		<U+1100, U+1162, U+11F0>	개ᇰ	
U+E0EE		<U+1100, U+1163, U+11E2>	갸ᇢ	
U+E0EF		<U+1100, U+1163, U+11E6>	갸ᇦ	
U+E0F0		<U+1100, U+1163, U+11F0>	갸ᇰ	
U+E0F1		<U+1100, U+1163, U+11F9>	갸ᇹ	
U+E0F2		<U+1100, U+1178>	ᄀᅸ	
U+E0F3		<U+1100, U+1165, U+11C7>	거ᇇ	
U+E0F4		<U+1100, U+1165, U+11D0>	거ᇐ	
U+E0F5		<U+1100, U+1165, U+11D9>	거ᇙ	
U+E0F6		<U+1100, U+1165, U+11DD>	거ᇝ	
U+E0F7		<U+1100, U+1165, U+11E2>	거ᇢ	
U+E0F8		<U+1100, U+1165, U+11E3>	거ᇣ	
