jeju_cp	jeju_glyph	unicode_cp	unicode_glyph_jeju
U+E001		<U+1100, U+119E>	ᄀᆞ
U+E002		<U+1100, U+119E, U+11A8>	ᄀᆞᆨ
U+E003		<U+1100, U+119E, U+11AB>	ᄀᆞᆫ
U+E004		<U+1100, U+119E, U+11AE>	ᄀᆞᆮ
U+E005		<U+1100, U+119E, U+11AF>	ᄀᆞᆯ
U+E006		<U+1100, U+119E, U+11B0>	ᄀᆞᆰ
U+E007		<U+1100, U+119E, U+11B1>	ᄀᆞᆱ
U+E008		<U+1100, U+119E, U+11B2>	ᄀᆞᆲ
U+E009		<U+1100, U+119E, U+11B7>	ᄀᆞᆷ
U+E00A		<U+1100, U+119E, U+11B8>	ᄀᆞᆸ
U+E00B		<U+1100, U+119E, U+11BA>	ᄀᆞᆺ
U+E00C		<U+1100, U+119E, U+11BD>	ᄀᆞᆽ
U+E00D		<U+1100, U+119E, U+11C0>	ᄀᆞᇀ
U+E00E		<U+1101, U+119E>	ᄁᆞ
U+E00F		<U+1101, U+119E, U+11AB>	ᄁᆞᆫ
U+E010		<U+1101, U+119E, U+11AF>	ᄁᆞᆯ
U+E011		<U+1101, U+119E, U+11B7>	ᄁᆞᆷ
U+E012		<U+1101, U+119E, U+11B8>	ᄁᆞᆸ
U+E013		<U+1101, U+119E, U+11BA>	ᄁᆞᆺ
U+E014		<U+1101, U+119E, U+11BC>	ᄁᆞᆼ
U+E015		<U+1102, U+119E>	ᄂᆞ
U+E016		<U+1102, U+119E, U+11AB>	ᄂᆞᆫ
U+E017		<U+1102, U+119E, U+11AF>	ᄂᆞᆯ
U+E018		<U+1102, U+119E, U+11B7>	ᄂᆞᆷ
U+E019		<U+1102, U+119E, U+11B8>	ᄂᆞᆸ
U+E01A		<U+1102, U+119E, U+11BA>	ᄂᆞᆺ
U+E01B		<U+1102, U+119E, U+11BD>	ᄂᆞᆽ
U+E01C		<U+1102, U+119E, U+11BE>	ᄂᆞᆾ
U+E01D		<U+1103, U+119E>	ᄃᆞ
U+E01E		<U+1103, U+119E, U+11A8>	ᄃᆞᆨ
U+E01F		<U+1103, U+119E, U+11AB>	ᄃᆞᆫ
U+E020		<U+1103, U+119E, U+11AE>	ᄃᆞᆮ
U+E021		<U+1103, U+119E, U+11AF>	ᄃᆞᆯ
U+E022		<U+1103, U+119E, U+11B0>	ᄃᆞᆰ
U+E023		<U+1103, U+119E, U+11B2>	ᄃᆞᆲ
U+E024		<U+1103, U+119E, U+11B7>	ᄃᆞᆷ
U+E025		<U+1103, U+119E, U+11BA>	ᄃᆞᆺ
U+E026		<U+1103, U+119E, U+11BC>	ᄃᆞᆼ
U+E027		<U+1104, U+119E>	ᄄᆞ
U+E028		<U+1104, U+119E, U+11A8>	ᄄᆞᆨ
U+E029		<U+1104, U+119E, U+11AB>	ᄄᆞᆫ
U+E02A		<U+1104, U+119E, U+11AE>	ᄄᆞᆮ
U+E02B		<U+1104, U+119E, U+11AF>	ᄄᆞᆯ
U+E02C		<U+1104, U+119E, U+11B2>	ᄄᆞᆲ
U+E02D		<U+1104, U+119E, U+11B7>	ᄄᆞᆷ
U+E02E		<U+1104, U+119E, U+11B8>	ᄄᆞᆸ
U+E02F		<U+1104, U+119E, U+11BA>	ᄄᆞᆺ
U+E030		<U+1105, U+119E>	ᄅᆞ
U+E031		<U+1105, U+119E, U+11A8>	ᄅᆞᆨ
