eacc_cp	marc_pua	unicode_glyph	unicode_cp
212A21	E8D0	EACC component character	〓 (3013)
212A22	E8D1	EACC component character	〓 (3013)
212A23	E8D2	EACC component character	〓 (3013)
212A24	E8D3	EACC component character	〓 (3013)
212A25	E8D4	EACC component character	〓 (3013)
212A26	E8D5	EACC component character	〓 (3013)
212A28	E8D6	EACC component character	〓 (3013)
212A29	E8D7	EACC component character	〓 (3013)
212A2A	E8D8	EACC component character	〓 (3013)
212A2B	E8D9	EACC component character	〓 (3013)
212A2C	E8DA	EACC component character	〓 (3013)
212A2D	E8DB	EACC component character	〓 (3013)
212A2E	E8DC	EACC component character	〓 (3013)
212A2F	E8DD	EACC component character	〓 (3013)
212A30	E8DE	EACC component character	〓 (3013)
212A32	E8DF	EACC component character	〓 (3013)
212A33	E8E0	EACC component character	〓 (3013)
212A34	E8E1	EACC component character	〓 (3013)
212A35	E8E2	EACC component character	〓 (3013)
212A36	E8E3	EACC component character	〓 (3013)
212A37	E8E4	EACC component character	〓 (3013)
212A38	E8E5	EACC component character	〓 (3013)
212A39	E8E6	EACC component character	〓 (3013)
212A3A	E8E7	EACC component character	〓 (3013)
212A3B	E8E8	EACC component character	〓 (3013)
212A3C	E8E9	EACC component character	〓 (3013)
212A3D	E8EA	EACC component character	〓 (3013)
212A3E	E8EB	EACC component character	〓 (3013)
212A3F	E8EC	EACC component character	〓 (3013)
212A40	E8ED	EACC component character	〓 (3013)
212A41	E8EE	EACC component character	〓 (3013)
212A42	E8EF	EACC component character	〓 (3013)
212A43	E8F0	EACC component character	〓 (3013)
212A44	E8F1	EACC component character	〓 (3013)
212A45	E8F2	EACC component character	〓 (3013)
