EACC	Former PUA mapping	Character Name or Description 	Glyph 	Current mapping
213057	E930 	East Asian ideograph (variant of EACC 4B3057) 	亙 	4E99
21345D	E931 	East Asian ideograph (variant of EACC 2D345D) 	卉 	5349
21372C	E932 	East Asian ideograph (variant of EACC 4B372C) 	嘆 	5606
21374C	E933 	East Asian ideograph (variant of EACC 4B374C) 	噢 	5662
213755	E934 	East Asian ideograph (variant of EACC 453755) 	嚮 	56AE
213864	E935 	East Asian ideograph (variant of EACC 4B3864) 	壇 	58C7
213B61	E936 	East Asian ideograph (variant of EACC 4B3B61) 	層 	5C64
213C2F	E937 	East Asian ideograph (variant of EACC 4B3C2F) 	嶺 	5DBA
213D2A	E938 	East Asian ideograph (variant of EACC 4B3D2A) 	廣 	5EE3
213E2A	E939 	East Asian ideograph (variant of EACC 4B3E2A) 	怵 	6035
213E40	E93A 	East Asian ideograph (variant of EACC 4B3E40) 	恆 	6046
213E5B	E93B 	East Asian ideograph (variant of EACC 4B3E5B) 	情 	60C5
213F53	E93C 	East Asian ideograph (variant of EACC 4B3F53) 	懲 	61F2
214049	E93D 	East Asian ideograph (variant of EACC 4B4049) 	拐 	62D0
214066	E93E 	East Asian ideograph (variant of EACC 4B4066) 	拴 	62F4
214135	E93F 	East Asian ideograph (variant of EACC 4B4135) 	捨	 6368
214146	E940 	East Asian ideograph (variant of EACC 454146) 	換	 63DB
214456	E941 	East Asian ideograph (variant of EACC 4B4456) 	栓	 6813
21465B	E942 	East Asian ideograph (variant of EACC 45465B) 	氯	 6C2F
214676	E943 	East Asian ideograph (variant of EACC 4B4676) 	沉	 6C89
214857	E944 	East Asian ideograph (variant of EACC 4B4857) 	漢	 6F22
21492B	E945 	East Asian ideograph (variant of EACC 4B492B) 	濫	 6FEB
214A3E	E946 	East Asian ideograph (variant of EACC 4B4A3E) 	爵	 7235
214B63	E947 	East Asian ideograph (variant of EACC 4B4B63) 	璜	 749C
214C51	E948 	East Asian ideograph (variant of EACC 4B4C51) 	痊	 75CA
214C79	E949 	East Asian ideograph (variant of EACC 4B4C79) 	癲	 7672
214E56	E94A 	East Asian ideograph (variant of EACC 4B4E56) 	磺	 78FA
215122	E94B 	East Asian ideograph (variant of EACC 455122) 	納	 7D0D
215154	E94C 	East Asian ideograph (variant of EACC 4B5154) 	練	 7DF4
21524E	E94D 	East Asian ideograph (variant of EACC 4B524E) 	翎	 7FCE
21552C	E94E 	East Asian ideograph (variant of EACC 4B552C) 	莒	 8392
215629	E94F 	East Asian ideograph (variant of EACC 4B5629) 	藍	 85CD
215746	E950 	East Asian ideograph (variant of EACC 4B5746) 	術	 8853
215871	E951 	East Asian ideograph (variant of EACC 4B5871) 	誤	 8AA4
21587A	E952 	East Asian ideograph (variant of EACC 4B587A) 	請	 8ACB
21592C	E953 	East Asian ideograph (variant of EACC 2D592C) 	謁	 8B01
215A3B	E954 	East Asian ideograph (variant of EACC 4B5A3B) 	贈	 8D08
215B29	E955 	East Asian ideograph (variant of EACC 4B5B29) 	躍	 8E8D
215B52	E956 	East Asian ideograph (variant of EACC 4B5B52) 	轂	 8F42
215B6D	E957 	East Asian ideograph (variant of EACC 275B6D) 	述	 8FF0
215C77	E958 	East Asian ideograph (variant of EACC 4B5C77) 	鄹	 9139
215D58	E959 	East Asian ideograph (variant of EACC 4B5D58) 	鈴	 9234
215F50	E95A 	East Asian ideograph (variant of EACC 4B5F50) 	難	 96E3
215F72	E95B 	East Asian ideograph (variant of EACC 4B5F72) 	靛	 975B
216036	E95C 	East Asian ideograph (variant of EACC 456036) 	響	 97FF
216044	E95D 	East Asian ideograph (variant of EACC 4B6044) 	領	 9818
216053	E95E 	East Asian ideograph (variant of EACC 4B6053) 	類	 985E
21623B	E95F 	East Asian ideograph (variant of EACC 4B623B) 	鴒	 9D12
216324	E960 	East Asian ideograph (variant of EACC 456324) 	齡	 9F61
216455	E961 	East Asian ideograph (variant of EACC 4B6455) 	亶	 4EB6
217143	E962 	East Asian ideograph (variant of EACC 2D7143) 	嗢	 55E2
223B31	E963 	East Asian ideograph (variant of EACC 4C3B31) 	枘	 6798
224446	E964 	East Asian ideograph (variant of EACC 4C4446) 	歎	 6B4E
22476E	E965 	East Asian ideograph (variant of EACC 4C476E) 	沭	 6CAD
22492F	E966 	East Asian ideograph (variant of EACC 34492F) 	洴	 6D34
224D3D	E967 	East Asian ideograph (variant of EACC 4C4D3D) 	潢	 6F62
224F2B	E968 	East Asian ideograph (variant of EACC 4C4F2B) 	瀞	 701E
226266	E969 	East Asian ideograph (variant of EACC 4C6266) 	瞋	 778B
22683E	E96A 	East Asian ideograph (variant of EACC 4C683E) 	秫	 79EB
22686F	E96B 	East Asian ideograph (variant of EACC 2E686F) 	稙	 7A19
226B54	E96C 	East Asian ideograph (variant of EACC 2E6B54) 	笄	 7B04
226F7B	E96D 	East Asian ideograph (variant of EACC 4C6F7B) 	糨	 7CE8
227C45	E96E 	East Asian ideograph (variant of EACC 4C7C45) 	芮	 82AE
227D4D	E96F 	East Asian ideograph (variant of EACC 4C7D4D) 	荃	 8343
23252E	E970 	East Asian ideograph (variant of EACC 2F252E) 	蔇	 8507
234134	E971 	East Asian ideograph (variant of EACC 4D4134) 	醛	 919B
235154	E972 	East Asian ideograph (variant of EACC 4D5154) 	饂	 9942
235222	E973 	East Asian ideograph (variant of EACC 475222) 	饗	 9957
275164	E974 	East Asian ideograph (variant of EACC 455164) 	县	 53BF
275C5A	E975 	East Asian ideograph (variant of EACC 2D5C5A) 	迩	 8FE9
2D325F	E976 	East Asian ideograph (variant of EACC 4B325F) 	傻	 50BB
2D3B40	E977 	East Asian ideograph (variant of EACC 273B40) 	将	 5C06
2D4474	E978 	East Asian ideograph (variant of EACC 214474) 	植	 690D
2D4768	E979 	East Asian ideograph (variant of EACC 274768) 	浅	 6D45
2D5529	E97A 	East Asian ideograph (variant of EACC 275529) 	茎	 830E
2D552E	E97B 	East Asian ideograph (variant of EACC 21552E) 	莓	 82FA
2D7164	E97C 	East Asian ideograph (variant of EACC 217164) 	嗔	 55D4
2E4739	E97D 	East Asian ideograph (variant of EACC 224739) 	汧	 6C67
333F22	E97E 	East Asian ideograph (variant of EACC 213F22) 	慨	 6168
334633	E97F 	East Asian ideograph (variant of EACC 274633) 	残	 6B8B
334C36	E980 	East Asian ideograph (variant of EACC 274C36) 	画	 753B
335230	E981 	East Asian ideograph (variant of EACC 215230) 	置	 7F6E
394634	E982 	East Asian ideograph (variant of EACC 214634) 	殖	 6B96
396223	E983 	East Asian ideograph (variant of EACC 216223) 	鯽	 9BFD
3A284C	E984 	East Asian ideograph (variant of EACC 4C284C) 	厩	 53A9
3F424F	E985 	East Asian ideograph (variant of EACC 27424F) 	启	 542F
454E43	E986 	East Asian ideograph (variant of EACC 214E43) 	碌	 788C
45564B	E987 	East Asian ideograph (variant of EACC 21564B) 	虞	 865E
455847	E988 	East Asian ideograph (variant of EACC 215847) 	訥	 8A25
472C4D	E989 	East Asian ideograph (variant of EACC 232C4D) 	蠁	 8801
474E5C	E98A 	East Asian ideograph (variant of EACC 234E5C) 	韞	 97DE
47577A	E98B 	East Asian ideograph (variant of EACC 23577A) 	鯖	 9BD6
4B306E	E98C 	East Asian ideograph (variant of EACC 21306E) 	令	 4EE4
4B3144	E98D 	East Asian ideograph (variant of EACC 213144) 	伶	 4F36
4B3178	E98E 	East Asian ideograph (variant of EACC 213178) 	倩	 5029
4B324E	E98F 	East Asian ideograph (variant of EACC 21324E) 	僧	 50E7
4B3322	E990 	East Asian ideograph (variant of EACC 213322) 	全	 5168
4B3324	E991 	East Asian ideograph (variant of EACC 2D3324) 	捌	 634C
4B3474	E992 	East Asian ideograph (variant of EACC 213474) 	卿	 537F
4B3749	E993 	East Asian ideograph (variant of EACC 213749) 	器	 5668
4B3758	E994 	East Asian ideograph (variant of EACC 213758) 	嚥	 56A5
4B3D4C	E996 	East Asian ideograph (variant of EACC 273D4C) 	弥	 5F25
4B3D67	E997 	East Asian ideograph (variant of EACC 273D67) 	径	 5F84
4B3F40	E998 	East Asian ideograph (variant of EACC 213F40) 	憎	 618E
4B3F4B	E999 	East Asian ideograph (variant of EACC 273F4B) 	怜	 601C
4B3F50	E99A 	East Asian ideograph (variant of EACC 213F50) 	懊	 61CA
4B4534	E99B 	East Asian ideograph (variant of EACC 214534) 	榔	 6994
4B456C	E99C 	East Asian ideograph (variant of EACC 21456C) 	櫛	 6ADB
4B4767	E99D 	East Asian ideograph (variant of EACC 214767) 	涵	 6DB5
4B485F	E99E 	East Asian ideograph (variant of EACC 27485F) 	滞	 6EDE
4B4925	E99F 	East Asian ideograph (variant of EACC 214925) 	澳	 6FB3
4B4A74	E9A0 	East Asian ideograph (variant of EACC 214A74) 	猜	 731C
4B4B71	E9A1 	East Asian ideograph (variant of EACC 2D4B71) 	缾	 7F3E
4B4C67	E9A2 	East Asian ideograph (variant of EACC 214C67) 	瘟	 761F
4B4D45	E9A3 	East Asian ideograph (variant of EACC 214D45) 	直	 76F4
4B4D59	E9A4 	East Asian ideograph (variant of EACC 214D59) 	睛	 775B
4B4D7B	E9A5 	East Asian ideograph (variant of EACC 214D7B) 	矗	 77D7
4B4E7B	E9A6 	East Asian ideograph (variant of EACC 274E7B) 	禅	 7985
4B4F3C	E9A7 	East Asian ideograph (variant of EACC 274F3C) 	称	 79F0
4B5044	E9A8 	East Asian ideograph (variant of EACC 215044) 	簧	 7C27
4B523E	E9A9 	East Asian ideograph (variant of EACC 21523E) 	羚	 7F9A
4B525B	E9AA 	East Asian ideograph (variant of EACC 39525B) 	曜	 66DC
4B526E	E9AB 	East Asian ideograph (variant of EACC 21526E) 	聆	 8046
4B5428	E9AC 	East Asian ideograph (variant of EACC 215428) 	臭	 81ED
4B546D	E9AD 	East Asian ideograph (variant of EACC 21546D) 	苓	 82D3
4B553A	E9AE 	East Asian ideograph (variant of EACC 21553A) 	菁	 83C1
4B553F	E9AF 	East Asian ideograph (variant of EACC 21553F) 	莽	 83BD
4B563A	E9B0 	East Asian ideograph (variant of EACC 27563A) 	芦	 82A6
4B566A	E9B1 	East Asian ideograph (variant of EACC 21566A) 	蜈	 8708
4B5671	E9B2 	East Asian ideograph (variant of EACC 215671) 	蜻	 873B
4B576F	E9B3 	East Asian ideograph (variant of EACC 21576F) 	褐	 8910
4B5826	E9B4 	East Asian ideograph (variant of EACC 215826) 	覃	 8983
